content,label,start
Bình đẹp màu xanh nhám mình khá thích Có chế độ khóa cho nắp k bị bung ra ở phần nắp ly phiên bản này khá okla Điểm trừ xíu là thiết kế miệng nhỏ nên cắm ổng hút k được v nhưng đánh giá chung mình vẫn ưng mẫu thiết kế này,POS,5
Ngoại quan đẹp màu đen nhám không bám vân tay Logo chi tiết sắc sảo Chức năng onetouch mượt mà Tiki mà update thêm video bên cạnh hình thì mình sẽ up cho mn xemChưa biết giữ nhiệt có như thông tin không nhưng lúc vặn nắp thì cảm giác rất chặt và êm lực ma sát với ron cao su lớn nhưng không tạo tiếng kít khó chịuTrong hộp có kèm hướng dẫn sử dụng tiếng HànAnhTrung chịu khó xem để biết cách thức đúng khi dùng và bảo quản sp Trừ  sao vì không có tiếng Việt làm khách hàng chưa có trải nghiệm tốt với sp,POS,4
Bình đẹp ko trầy xước khả năng giữ nhiệt để dùng một thời gian nữa xem sao Điểm trừ là nhà bán gói hàng quá sơ sài không chắc chắn Nếu shipper mà ko cẩn thận thì bình sẽ dễ bị móp méo do va đập Mong nhà bán cải thiện khâu đóng gói sản phẩm trước khi giao cho khách,POS,4
Mình rất hài lòng về sản phẩm cũng như dịch vụ của tiki  Sản phẩm nguyên vẹn thiết kế đẹp tiện lợi vì có cả quay xách chắc chắn phù hợp văn phòng đi chơi mình thấy nắp vặn khá chắc để đảm bảo nhiệt không bị tỏa ra ngoài Dịch vụ gói hàng của tiki rất thân thiện môi trường hầu như không sử dụng băng keo túi nilong Tiki giao hàng nhanh hơn dự kiến  ngày chị ship khu vực mình rất chu đáo và nhiệt tình,POS,5
Tiki giao hàng nhanh mail thông báo hàng đến là giao đúng trong ngày đánh giá cao về cách quản lý vận chuyển hàng hoá của TikiHàng mới nhận chưa sử dụng nên chưa đánh giá về chất lương nhưng về mẫu mã thì đúng như thông tin cầm chắc tay màu sắc đẹp inox  không có sét rỉ ở chỗ nào trong lòng bình sạchTuy nhiền mặt ngoài bình vẫn còn  số vết bị trầy nhẹ chắc do vận chuyển như trên hình chụpCòn chuyện sơn dễ trầy và tróc thì các bạn mua trước đã đánh giá rồi nên không có ý kiếnNói chung là hài lòng tronh đợt giảm giáThank Tiki,POS,4
bình khá đẹpdùng lâu kb bị tróc sơn giống như những người dùng trước nhận xét không bình nếu có thêm nắp uống nước dc luôn thì tốtmấy loại bình to khoảng gần l của lock lock toàn không có nắp uống nước kèm theo hy vọng lock and lock lắng nghe ý kiến người dùng,POS,5
Tưởng là loại bình nhỏ té ra lúc nhận to tổ chảng luôn Bình có dây móc nắp lọc bằng inox chứ không phải bằng nhựa như các series khác của LocknLock nên mình khá thích Miệng bình rộng đủ để có thể cho đá viên vào Do khá to nên để bên hông balo nhỏ có thể không vừa Nói chung mình hài lòng về chất lượng và thiết kế,POS,5
Mình nhận hàng đúng như miêu tả Hàng mới và không bị mố hay bị trầy Cầm rất chắc chắn và màu sắc nhìn rất chuyên nghiệp Khi đặt trên bàn thì đứng vững do phần đế có cao su Mình có thử để đá thì sau  tiếng phần đá còn  sau  tiếng còn  Rất hài lòng với sản phẩm này,POS,5
Nhận hàng từ chiều tối ngày  đến hôm nay  mới mở ra xem Về ngoại hình sản phẩm khi nhận Vỏ hộp nhăn nheo nắp hộp bị rách do bóc quá nhiều Nắp bình mở ra có vết xước ở phần nhựa của nắp chắc chắn hàng cũ Mình có cảm giác như tiki ngày càng giao hàng tồn kho cho khách ai lại mua sản phẩm mà muốn phải nhận được hàng cũ ,NEG,2
Mình mới mua đc  ngàyHàng đúng như quảng cáo nhéBề mặt thép nhìn rất đẹpkhó trầy xướcmình làm rơi vài lầnkhông cao lắmtầm  m thôikhông đựng nước gì bên trong thì trông nó vẫn thếBình mm thì to hơn so với mình tưởng tượngCầm  tay thì sẽ không vừaNhưng mà thôiđược sale mà mua loại này là quá ngon rồi,POS,5
Hàng locknlock chất lượng okie canh sale nữa nên mua đc giá  Mình  giữ nóng ngày đầu đổ nước sôi vào bình từ h chiều hôm trước đến h trưa hôm sau nước vẫn còn nóng lắm Đựng nước trà uống từ sáng đến chiều trà vẫn nóng lắm Mẫu mã đẹp độ giữ nhiệt ko biết có bền theo thời gian không Tại vì mình xài mấy bình locknlock trước thì giữ nóng tầm chưa tới  năm là bình xuống cấp ko giữ nóng tốt đc nữa Giá tiền vậy nên cũng thấy okie rồi ko đòi hỏi Nói chung hài lòng Tiki ship nhanh thần tốc,POS,4
Thời gian giao hàng phải nói là rất lâu Hơn  tháng trời nhưng không nhận được bất cứ thông tin thông báo hay phản hồi nào từ Tiki Dù biết là do dịch nhưng ít ra cũng nên có phản hồi cho khách hàng biết về thông tin đơn hàng Lúc nhận được kiện hàng thì lại càng tuột mood nữa nhưng may hàng bên trong chỉ trầy sơ,POS,4
Chu choa khôn biết mình duyên nợ gì với Sunhouse không mà đồ nhà dùn chỉ thấy hàng của hãng    Mình vào Tiki thấy này mọi người đánh gia thực tế quá nên chốt luôn mua combo hai cái luôn Nhà mình cáicho bố mẹ cái Giao mùa nhiều muỗi    Mình bóc hàng và tìm ngay một con muỗi thử nghiệm Chu choa giật cả mình vì tiếng muỗi nổ to lắm luôn mọi người ạ Trộm vía thử nghiệm hai cái ok Pin đã sạc đầy đủ Vợt cầm chắc tay không ẻo ẹt như vợt khác Mới toanh sản xuất  Màu sắc đẹp  Hi vọng vợt sài bền đẹp thật lâu như nồi niu xoong chảo mình đã mua của Sunhouse trên Tiki   À giao hàng nhanh lắm nha các bác Mê Tiki ghê Nhà đang nhiều muỗi Hihi,POS,5
Mua với giá khá rẻ so với một số loại khác Không có đèn pin mà mình cũng chẳng cần Vừa mua về dùng ngay sử dụng liên tục gần  tuần mới sạc lại Vợt nhạy nhưng dùng khoảng  ngày mình nghĩ nên sạc lại vì muỗi vợt lần đầu không chết ngay như ban đầu Bảng vợt làm bằng cao su khá dẻo nên khi đập vào tường không sợ hư gãy,POS,4
Shop giao hàng nhanh và đóng gói rất cẩn thận Mình đặt chiều hôm trước mà trưa hôm sau đã nhận được hàng Tuy nhiên mình không hài lòng vì sản phẩn ghi là của Sunhouse nhưng mà đọc thương hiệu lại la một công ty của Trung Quốc sản xuất Sunhouse chỉ nhập khẩu và phân phối nên có cảm giác như Sunhouse lừa đảo khách hàng treo đầu dê bán thịt chó,NEG,2
Tôi mua  cái  cái hoạt động tốt Chiếc còn là không có tiếng nổ hoặc rất bé tôi nghĩ là dòng điện không đủ mạnh nên còn nhìn thấy xác con muỗi mắc vào lưới Tôi thấy tiếng nổ cũng quan trọng để nhận biết khu vực đó có nhiều muỗi hay không hay mình có quơ trúng mấy con muỗi không Tôi muốn Tiki hỗ trợ thu hồi chiếc vợt lỗi và đổi cho tôi chiếc khác có được không ạpsmình có liên hệ để nhờ bộ phận hỗ trợ của TIKI thu hồi sản phẩm đã được giao sản phẩm mới để chắc ăn thì khi nhận hàng mọi người chụp lại quy cách đóng gói đơn hàng mã đơn hàng và quay lại quá trình mở hàng nếu sản phẩm lỗi thì cung cấp bằng chứng nhờ TIKI kiểm tra và đổi cho sản phẩm khác nếu lỗi do nhà sản xuất nha,POS,5
Sản phẩm giao đến đã bị vỡ và rỉ sét Tiki báo sẽ đến lấy lại hàng trong  ngày làm việc nhưng đến nay đã  tuần vẫn chưa thấy Tiki đến lấy hàng Đã gọi tổng đài Tiki cũng chỉ báo sẽ giải quyết sớm mà không thấy đến,NEG,1
Ngày đầu tiên thấy vẫn dùng được dù lưới có bị thủng hàng rẻ nên thôi chấp nhận Sau chừng p thì không dùng được nữa nghĩ hết pin nên cắm sạc và nó tịt luôn đến giờ ngày dù cây vợt vẫn mới nguyên sạc vẫn hiện đèn Của rẻ là của ôi mọi người cẩn thận,NEG,1
chưa nhận được hàng shipper báo ra chỗ shiper cách nhà mình km để nhận nếu k ra được thì sẽ trả hàng về shop Trog khi trước giờ tất cả các dịch vụ khác đều giao tận nhà mình kể cả tikiMình k ra được nên báo giao hàng trả lại shop tiki giao hàng k đúng hẹn trog thgian dịch này mình không phàn nàn nhưng thái độ và cách a giao hàng xử lý thì mình k đồng ý  Đơn hàng này dùng mã km để mua chỉ thanh toán chưa dc k là nhận được sp thế mà mất luôn mã km mà k nhận dc hàng,NEG,1
chỉ cho sao để nhà bán và người mua có chút lưu ý nhà bán không có vấn đề gì vấn đề là sản phẩm sunhouse này chả bắt dc con muỗi nào do phần nhựa giữa  lớp lưới quá nhiều sunhouse khoái quảng cáo lên mặt lưới điện dẫn đến muỗi ko thể chạm vào cùng lúc với  luới    nên chả có vụ chạm nổ nào xảy ra từ lúc mua về đến giờ bắt muỗi như đánh tennis chứ chả điện giựt gìnãn với nhà sunhouse,POS,4
Tôi mua vợt muỗi về dùng hôm đầu mới mở ra tất tốt bọc kỹ càng Tiki đánh dấu hàng dễ vỡ vợt mở ra cầm chắc tay kêu to có tem bảo hành Nhưng được đúng  đêm đến ngày thứ  tôi sử dụng thì không còn thấy kêu gì nữa mặc dù đèn vẫn lên Tôi nghĩ do hết pin nên cắm sạc khoảng h để đảm bảo có đủ điện nhưng kết quả vẫn vậy vợt dùng không kêu không biết còn sử dụng được không hay tôi không biết cách sử dụng Mặc dù chính hãng Sunhouse và của Tiki Trading  tôi rất tin tưởng nhưng lần này thất vọng quá Nhờ Tiki kiểm tra xem có đổi trả được sản phẩm hay không ,NEG,2
vợt dùng khá tốt tuần đầu tiên muỗi nổ tanh tách nghe giật cả mình nhưng chỉ đc  tuần rồi chả hiểu sao l dùng đc nữa đèn vẫn sáng mà như điện ko vào lưới ấy chắc là tiếp xúc dây trong vợt kém làm điện k vào,NEG,2
nằm êm không bị lạnh sống lưng khi nằm đất Sản phẩm giao nhanh tốt hợp túi tiền,POS,5
Giao hàng nhanh sản phẩm hơi mỏng Nhưng phù hợp giá tiền,POS,4
chiếu rộng thoải mái thích hợp dùng trong văn phòng,POS,5
,POS,5
Tuyệt vời,POS,5
Giao nhanh lắm ạ,POS,5
chất lượng tốt tiki now p nhận hàng,POS,5
Đáng tiền,POS,5
sản phẩm ok nằm ấm lưng,POS,5
Nằm nghe tiếng xoàng xoạc,NEU,3
Sản phẩm đẹp tổng thể thiết kế rất ưngMình mua màu sơn xanh navy nhám trọng lượng cầm khá chắc tay Tay cầm dày và chắc chắn có lớp chống va chạm vào thân ly tránh trầy xước Đế chống ồn và chống trượt để khá chắc chắnHộp sản phẩm có tờ HDSD tiếng Hàn Anh Trung đáy hộp có HDSD tiếng Việt và thông tin xuất xứ nhập khẩu khá rõ ràngLà một sản phẩm rất đáng mua trong các đợt giảm giá của Tiki trading,POS,5
Đựng nước nóng thì  tiếng đã nguội thành nc ấm vừa đủ uống rồi Miệng cốc sẽ rất nóng nên thoát nhiệt nhanhĐựng đá thì giữ lạnh  tiếng chỉ tan khoảng Miệng cốc sẽ ko kín như bình nước được nếu dốc ngược bình hoặc để nằm ngang thì nước sẽ rò ra tại phần xoay cốc một chút nước nóng thì thành giọt nhỏ nước đá thì thoát mồ hôi li tiMình nghĩ đây là thiết kế hợp lý ở nơi làm việc Nếu ra ngoài thì vẫn nên có túi đựng cốcGiao hàng nhanh freeship và giao trong nửa ngày Cốc nguyên vẹn và ko xước,POS,5
Những lần trước mua hàng ở Tiki rất yên tâm Mùa dịch này mình đặt hàng ở Tiki nhận trễ hơn hơn dự kiến cũng khá lâu vì vận chuyển khó khăn nên không có ý kiến gì Nhưng đợt này nhận được  món bị lỗi liên tục Món hàng đầu tiên đã được Tiki thu hồi và chờ đổi Bình nước bị móp khuyết  lỗ và rỉ sét Hi vọng Tiki phản hồi lại về việc đổi trả Cảm ơn Tiki,NEG,1
chất lượng lock n lock thì rất tốt  thật sự trước giờ mua hàng ở tiki rất hài lòng nhưng hôm nay nhận hàng khá khó chịu hộp ngoài bị bung  góc cảm giác đóng gói không kĩ hộp trong sản phẩm bị móp méo hi vọng tiki làm việc lại với bên vận chuyển,POS,4
Ly cầm khá vừa tay lớp sơn nhám nên hi vọng không dễ trầy như các mẫu cũ Thiết kế các phần dễ tháo ra để vệ sinh đặc biệt lỗ cắm ống hút khá lớn nên có thể cho vừa ống hút loại to Hơi buồn vì mua xong thì giá  thấp hơn vài chục,POS,5
Miếng ngăn đá thiết kế kính liền và phần nắp quá nhiều Trước mìh dùng sản phẩm khác đều có thể tuỳ ý và tháo ra vì k sử dụng lớp miếng ngăn cách đóKhi tháo ra hoặc lắp vô Không hiểu tại sao luôn có tiếng kẹt khi xoaySự khó chịu tăng gấp đôi,POS,4
Wow loại này mình dùng thích nhất trong các loại bình giữ nhiệt Dễ vệ sinh và sử dụng được ống hút Quai cầm thuân tiện và ko sợ bị gãy như loại trước Do có  nắp nên giữ nhiệt ko tốt bằng loại cũ Nhưng mình vẫn thích dùng loại mới này hơn Có thể dùng để lắc protein mà ko lo hin đổ ra ngoài,POS,5
Trùi ui xem ảnh k nghĩ là vỏ nhám nhưng nhận bình hoá ra nhám thật Toẹt zờiMh đã check thử bình theo hướng dẫn và chất lượng vẫn tốt như mọi khi Điểm cộng cho việc thông báo trước cho khách hàng về việc đơn hàng có thể bị trễ do khó khăn trong vận chuyển,POS,5
Bình đẹp kiểu dáng nhìn rất thời trang Do dịch nên mình chờ có hơi lâu nhưng mà cũng không sao Mình chưa thử giữ lạnh nhưng giữ nóng thì mình nghĩ sẽ không tốt bằng các loại bình nắp bằng kim loại Vì nắp nhựa khá mỏng nên khi rót nước ấmnóng vào bình thì nắp bình cũng ấmnóng theo nên khả năng mất nhiệt là khá cao Tuy nhiên cũng vẫn ổn bình vẫn giữ ấm được tầm   h nếu đổ nước khá nóng vào Còn nếu muốn ấm lâu hơn thì nên mua loại bình nắp kim loại có đệm lót cao su bên trong mình có  bình khác của LL nắp kim loại nên giữ ấmlạnh tốt cực kì Mình nghĩ bình như vậy là cũng ổn rồi với thời tiết của VN Tóm lại là hàng đẹp tốt mình còn mua đợt siêu sale nên rất là ưng ý luôn,POS,4
Giao hàng nhanh vcđ đêm qua đặt chiều hôm sau nhận hàng luônlúc đầu lướt thấy đã thích rồi mà đắt vch sau thấy mua  gg  nên cũng cắn răng mua  cái  dùng  tặng  qua thì thấy cứng cáp giữ lạnh ổn màu đẹp sợ xước thôi,POS,5
Sản phẩm rất ok đáng tiền Được kèm  miếng lau có thể dùng lau kính cửa sàn nhà riêng Vắt khô lau cực sạch bụi bẩn đi mát chân hẳn Cán lắp dễ dàng  Tay nắm đệm cao su mềm cho cảm giác cầm nắm em tay Bàn lau gấp lại rất nhạy và chuẩn giúp dễ đặt vô thùng kéo lên xuống Vắt bên ngăn khô nước chảy về ngăn chưa luôn Thích ,POS,5
Mình đã mua  bộ không rõ nguồn gốc sài khá dỏm miếng lau dễ bị bung ra khi giặt và xả bộ này của Parroti tuyệt vời khắc phục được nhược điểm đó do có nam châm hít tấm lau vào đế bao giặt xả các kiểu cây lau cũng êm tay và nhẹ đầu chổi xoay linh động dễ kiểm soát không cần dùng sức,POS,5
Ui trùi lần đầu tiên mua được cây lau nhà xịn xò như này tất cả là nhờ ơn Tiki nhờ rìviu của khách hàng đánh giá  Cám ơn Parroti đã mang đến cho người tiêu dùng sp chất lượng  Về độ bền thì chưa biết nhưng đã dùng thử thì thấy đáng tiền lắm mọi người ạ Muốn mua thêm cho mẹ nữa Cám ơn shop  cám ơn anh shippo nhiệt tình dễ thương ,POS,5
Rất đáng để mua các bạn nhéCó tặng kèm  miếng lau riêng nên lau nhà lau kính thoải mái mà ko sợ bẩnTháo lắp rất dễ dàngThùng đựng nước cũng nhỏ gọn nên xách nhẹ lắm luônMìh mua  bộ xong dùng rất phù hợp nên mua tiếp bộ nữa đi tặng,POS,5
Mình nhận được hàng rồi  khá là hài lòng  vì sản phẩm cứng cáp chưa sử dụng lâu nên chưa biết độ bền như thế nào nhưng nhìn sản phẩm cứng cáp chắc sẽ bền Các bạn nên mua hàng ở shop đừng mua hàng rẽ hơn hay hàng chợ Sẽ hối hận đây Cám ơn shop nhé  giao hàng rất nhanh cho shop ,POS,5
Đây là bộ lau nhà mà tôi ưng ý nhất trong các mẫu lau nhà từ trước đến nay vì thiết kế nhỏ gọn thông minh có ngăn vắt khô riêng Cây lau có thể xoay linh hoạt Thích nhất là mình có thể lau được bề mặt tường gương Nói chung rất tiện lợi và hiệu quả,POS,5
Tôi thực sự rất thích sản phẩm này Trước đây tôi đã mua nhiều sản phẩm cây lau nhà cả dạng tròn với dạng tự vắt khác nhưng lần này tôi hoàn toàn hài lòng vì nhận được một sản phẩm vừa đẹp chất lượng hoàn thiện cao và cảm giác sử dụng tốt Với tấm lau lớn tôi lau sạch nhà nhanh hơn cảm giác cầm nhẹ hơn nhà rất nhanh khô Tấm lau chỉ cần chà vài lần đã sạch hết vết bẩn Tôi cảm giác được sự chăm chút của shop khi đóng gói bao bì cẩn thận đẹp và còn được tặng thêm móc treo tường cao cấp Nên mua,POS,5
Vào các sàn thương mại bây giờ mục review là ma trận của các seeder trừ các shop làm ăn chân chính Sau khi sử dụng thì sản phẩm thực tế như sau Sp ghi kèm theo  miếng lau nhưng thực tế là chỉ kèm thêm  miếng  miếng lau này chất liệu kém hơn miếng lau gốc  Nhựa gia công ở mức trung bình phần đáy rất mỏng bị lồi lên Không có lỗ thoát nước riêng cho ngăn vắt nên nước tràn từ ngăn giặt sang không thoát đi được liên tục phải đổ toàn bộ nước đi nếu muốn vắt khô Thiết kế tiết kiệm vật liệu nên để giặt ngập hết chổi thì nước đã đầy mấp mé miệng thùng do vậy rất dễ tràn ra ngăn vắt Lại phải chế thêm  chậu nước bên cạnh để giặt giẻ Lau nhà tương đối sạch còn độ bền chưa kiểm định được vì vừa mới mua  Tổng quan sản phẩm ở mức OK có thể sử dụng được chứ không phải xuất sắc Đề nghị Tiki không cho nổi các review điểm cao để đánh lạc hướng người sử dụng,NEU,3
Sản phẩm rất chất lượng Tôi đã ao ước mua được bộ cây lau như thế này rất lâu rồi nhưng vì sợ mua online sẽ gặp phải hàng kém chất lượng tuy vậy tôi đã không lầm khi tin và lựa chọn Parroti Hàng rất chất lượng mẫu mã đẹp Chính sách hỗ trợ khách hàng cũng rất tuyệt vời tôi rất thích Sẽ ủng hộ Parroti trong tương lai  vì trời tối và camera kém nên chất lượng hình ảnh không được đẹp như bên ngoài ,POS,5
Sản phẩm đóng gói cẩn thận thùng đẹp như hình cây lau dạng nối dài dễ sử dụngTuy nhiên cả thùng và cây lau đều nhỏ hơn so với tôi hình dung lau phòngnhà nhỏ thì được chứ nhà to là hơi mất thời gian và mỏi tayKhông hiểu sao tôi vắt hơn  lần nhưng miếng giẻ lau vẫn không kiệt được nước khi lau nhà thì nền khá ướt nhất là vào những hôm trời nồmđộ ẩm cao thì cả tiếng sau mới khô được ,POS,4
,POS,4
Dụng cụ nhỏ gọn thích hợp cho băm tỏi ớt lượng đủ dùng cho gia đình Nếu nhà mn hay nấu nướng ăn uống nhiều thì nên mua size lớn hơn mình mua size nhỏ là size S Hy vọng sẽ là  món đồ tiện lợi và phù hợp cho không gian bếp của mọi người nhá Cảm ơn Tiki,POS,5
Mặc dù chạy bằng cơm nhưng quay hành tỏi rất nhuyễn dễ vệ sinh đánh giá cao chất lượngNhưng vấn đề đáng nói ở đây là giao hàng lâu kinh khủng đặt hàng từ  mà tới ngày  mới nhận được hàng chưa bao giờ đặt  đơn hàng mà lâu như vậy gần  tháng xem lịch sử giao hàng thì thấy hàng cứ đứng yên  chỗ mình bực mình ko huỷ đơn luôn để thử xem khi nào mới giao Trong khi mình đặt  món cùng  lúc cùng  store mà tách ra làm  đơn  đơn giao nhanh  đơn gần  tháng Phải nói đây là  trải nghiệm đặt hàng online khá tệ,NEG,2
Sản phẩm nhỏ gọn nhưng cực xịn xò dễ sử dụng thuận tiện cho nhà bếp Không sợ văng cay mắt như khi băm giã hành ớt thông thường mà hành băm ra nhuyễn đều Hàng thì mới sản xuất tháng  mua lúc đang dịch vận chuyển khó khăn nhưng may mà vẫn nhận được hàng cảm ơn Tiki và đội ngũ shipper rất nhiều,POS,5
Sản phẩm dùng tốt nhé Kéo vài cái là tỏi đã nhuyễn rồi Trước chưa có dụng cụ này toàn dùng dao thớt băm văng đầy nhà Giờ có sản phẩm này rất tiện dụng và ưng ýCác mẹ nội trợ lưu ý cẩn thận nha Lưỡi dao bên trong rất sắt bén rất dễ đứt tay Cầm trục nhựa rữa sơ qua là đã sạch rồi,POS,5
Dụng cụ mới khá đẹp sử dụng đơn giản dễ vệ sinh Ngoài lưỡi dao cắt thực phẩm còn có dụng cụ trộn thực phẩm Mình thường dùng làm salad thôi cảm thấy rất ổn Tiki giao hàng nhanh hơn mình nghĩ được kiểm tra hàng đầy đủ trước khi thanh toán,POS,5
Đóng gợi cẩn thận Nhìn chắc chắn Lần trc mua cho mình thấy OK nên mình mua tặng chị gái  cá nhân mình thì thấy tiết kiệm thời gian mà rất đa năng Rau củ thịt cá đều OK Tất nhiên là với số lượng vừa phải rồi Lực cần k quá lớn Lưu ý khi vệ sinh và cẩn thận trẻ nhỏnên rửa ngay dao sau khi dùng và cất gọn tránh sát thương cho ng khác,POS,5
Trước thấy sp nhìn giống đồ chơi quá khi thấy ngta dùng mới mua thử kqua tuyệt vời băm  ớt tỏi làm mắm  xay hành tỏi mộc nhĩ cực kỳ tiện luôn  không tốn thời gian và ko văng đầy bếp  Đã mua  cái và mới đặt thêm  cái giùm đồng nghiệp  Thả tym ,POS,5
Đã thử xay thịt ức gà nấm hương mộc nhĩ cà rốt cắt nhỏ hành tây lá hành rất xịn xay miến thì không đượcNhưng bị  vấn đề là mình cảm thấy có mùi ở phần đánh dấu có thể lúc xay thịt bị dắt vào kẽ hiện tại chưa tìm được cách vệ sinh,NEG,2
hàng đẹp xài rất ok tiện cho việc nội chợ  lúc lấy ra để xài ko ngờ trượt tay rớt từ trên cao xuống văng ra từng chi tiết nhỏ tưởng đâu tiu luôn rồi chứ nhưng ko bị mẽ hay bể một tí nào mình và cả nhà đều rất thích nên đặt thêm size nhỏ nữa để xài,POS,5
mới đầu xem minhg cũng ko tin là tốt nhưng mua về dùng mới thấy quá thích dao sắc cắt hoa quả táo hay cam đều OK cực ưng cám ơn shopđong gói chắc chắn và giao hàng nhanh cám ơn shop,POS,5
Nhìn hộp cơm chắc chắn ngày mai tui thấy ngon cơm rồi đó  nhìn sạch sẽ tăng cảm giác kích thích gê tui để kế cái đồng hồ để mấy bạn hình dung được cái hộp cơm bự như thế nào thật tình nặng hơn mấy hộp cơm bình thường vì nó là hai hộp nhập một mà nhưng không nặng tay như cái hộp ba ngăn cùng lúc đâu độ nặng này chấp nhận được một bên đựng cơm bên đựng canh cái muỗng giúp cho bọn cái gái tụi mình ăn uống thùy mị hơn  đũa ống tròn gắp đâu dính đó ngay và liền luôn Nói chung đáng mua lắm sau bao ngày canh sale locknlock ở siêu thị dòng này bên ngoài không thấy bán đâu mấy bạn đừng đợi như mình nữa  Thật ,POS,5
Đồ locknlock như này thì khỏi bàn nữa rồi Giao hàng nhanh cực anh shipper nhiệt tình dù mình bận chưa nhận hàng được hàng cũng được bao bọc và đóng gói kĩ lắm Dung tích này với mình ăn tăng cơ thì chứa đồ ăn chưa no lắm nhưng đủ với những người ăn uống công sở bình thường Cảm ơn tiki và shipper nha,POS,5
Thấy ảnh thì nhỏ nghĩ chắc vừa rồi Ai dè kích thước to hihi Cũng ok đó Để sử dụng rồi gửi đánh giá sauAnh shipper dễ thương gọi ko thấy ai ngồi đợi sau đó mới gọi điện OK la laThanks Tiki và shop,NEU,3
